Postcode,Suburb,Q3 2007/08,Q3 2008/09,% Change
3059,Greenvale ,766,778,2%
3115,Wonga Park,763,775,1%
3944,Portsea,725,719,-1%
3114,Park Orchards,752,690,-8%
3930,Mt Eliza,777,687,-11%
3093,Lower Plenty,721,684,-5%
3804,Narre Warren North,728,678,-7%
3186,Brighton,707,670,-5%
3113,Warrandyte,709,657,-7%
3036,Keilor,632,623,-1%
3106,Templestowe,717,623,-13%
3142,Toorak,659,611,-7%
3038,Taylors Lakes,625,604,-3%
3095,Eltham ,633,602,-5%
3911,Baxter,622,586,-6%
3912,Somerville,619,585,-6%
3061,Campbellfield,583,583,0%
3048,Meadow Heights,583,581,0%
3807,Beaconsfield,602,578,-4%
3934,Mount Martha,609,577,-5%
3089,Diamond Creek,603,577,-4%
3099,Cottles Bridge,587,575,-2%
3066,Collingwood,544,570,5%
3126,Canterbury,635,570,-10%
3161,Caulfield North,585,563,-4%
3193,Beaumaris,614,562,-8%
3049,West Meadows,566,556,-2%
3918,Bittern,599,556,-7%
3144,Malvern,584,556,-5%
3187,Brighton East,600,555,-8%
3037,Sydenham,516,550,6%
3191,Sandringham,591,545,-8%
3082,Mill Park,566,544,-4%
3802,Endeavour Hills,598,540,-10%
3047,Broadmeadows,551,540,-2%
3074,Thomastown,566,539,-5%
3805,Narre Warren,562,539,-4%
3756,Wallan,545,535,-2%
3075,Lalor,558,529,-5%
3910,Langwarrin,558,528,-5%
3064,Craigieburn,532,525,-1%
3111,Donvale,596,518,-13%
3139,Don Valley,545,517,-5%
3178,Rowville,587,514,-12%
3116,Chirnside Park,528,514,-3%
3173,Keysborough,556,513,-8%
3782,Avonsleigh,495,508,3%
3025,Altona North,524,507,-3%
3060,Fawkner,500,506,1%
3041,Essendon North,511,505,-1%
3169,Clarinda,549,505,-8%
3172,Springvale South,552,505,-8%
3188,Hampton,550,504,-8%
3806,Berwick,539,503,-7%
3976,Hampton Park,525,503,-4%
3943,Sorrento,500,502,0%
3034,Avondale Heights,536,501,-7%
3101,Kew,521,497,-5%
3803,Hallam,552,496,-10%
3752,South Morang,524,494,-6%
3021,St Albans,519,490,-6%
3167,Oakleigh South,533,489,-8%
3065,Fitzroy,488,489,0%
3975,Lyndhurst,522,489,-6%
3171,Springvale,524,487,-7%
